# t_sec x y yaw_rad cum_dist_m
0.101 0.003149 -0.004109 0.009375 0.000000
0.201 0.003230 -0.004108 0.009375 0.000080
0.301 0.003230 -0.004108 0.009375 0.000080
0.401 0.003230 -0.004108 0.009375 0.000080
0.505 0.003230 -0.004108 0.009375 0.000080
0.603 0.003230 -0.004108 0.009375 0.000080
0.701 0.003230 -0.004108 0.009375 0.000080
0.801 0.003062 -0.004111 0.030144 0.000248
0.901 0.002883 -0.004118 0.040965 0.000428
1.001 0.003042 -0.004108 0.061909 0.000587
1.101 0.003143 -0.004102 0.109033 0.000689
1.201 0.002989 -0.004122 0.135213 0.000844
1.301 0.003124 -0.004102 0.159648 0.000981
1.401 0.003609 -0.004009 0.203281 0.001474
1.501 0.003414 -0.004051 0.227716 0.001675
1.602 0.034362 -0.009152 0.328171 0.033040
1.701 0.034398 -0.009141 0.349115 0.033078
1.801 0.034567 -0.009075 0.377041 0.033260
1.901 0.034315 -0.009176 0.432891 0.033532
2.001 0.034496 -0.009087 0.453835 0.033733
2.101 0.034811 -0.008925 0.492232 0.034087
2.201 0.034629 -0.009029 0.521903 0.034296
2.302 0.034578 -0.009060 0.549828 0.034356
2.403 0.034991 -0.008793 0.577753 0.034848
2.501 0.034945 -0.008829 0.621387 0.034907
2.601 0.034882 -0.008871 0.652803 0.034983
2.701 0.035103 -0.008701 0.678983 0.035261
2.801 0.034961 -0.008814 0.724361 0.035443
2.901 0.035459 -0.008363 0.752286 0.036115
3.001 0.035233 -0.008577 0.792429 0.036426
3.101 0.035413 -0.008391 0.808137 0.036685
3.201 0.035644 -0.008142 0.839553 0.037024
3.302 0.063744 0.031332 0.847909 0.085479
3.401 0.063861 0.031469 0.875659 0.085659
3.501 0.063875 0.031485 0.898349 0.085680
3.601 0.064056 0.031727 0.950709 0.085982
3.701 0.064058 0.031726 0.976888 0.085984
3.802 0.063975 0.031600 1.001323 0.086134
3.903 0.064261 0.032079 1.044956 0.086692
4.001 0.063911 0.031445 1.076547 0.087416
4.101 0.063984 0.031601 1.118260 0.087589
4.201 0.064087 0.031817 1.149851 0.087828
4.301 0.064208 0.032098 1.174285 0.088134
4.404 0.064069 0.031755 1.195404 0.088504
4.501 0.064216 0.032173 1.244273 0.088947
4.601 0.064309 0.032463 1.272198 0.089252
4.701 0.064357 0.032632 1.300123 0.089428
4.801 0.064834 0.034335 1.296633 0.091197
4.903 0.065048 0.035099 1.296633 0.091990
5.001 0.065146 0.035448 1.296633 0.092352
5.102 0.102229 0.027003 1.359976 0.130384
5.201 0.102139 0.026554 1.379175 0.130843
5.303 0.102170 0.026734 1.407100 0.131025
5.406 0.102204 0.026960 1.455969 0.131254
5.501 0.102199 0.026900 1.480404 0.131314
5.601 0.102193 0.026836 1.506584 0.131378
5.705 0.102213 0.027258 1.538000 0.131799
5.801 0.102213 0.026688 1.583378 0.132369
5.901 0.102195 0.027059 1.627012 0.132741
6.002 0.102182 0.027273 1.646210 0.132955
6.101 0.102225 0.026810 1.675881 0.133419
6.202 0.102185 0.027108 1.719514 0.133720
6.301 0.102235 0.026810 1.749185 0.134023
6.401 0.102177 0.027103 1.777110 0.134322
6.501 0.102220 0.026955 1.825979 0.134476
6.601 0.102322 0.026574 1.855650 0.134871
6.701 0.102152 0.027125 1.895792 0.135447
6.801 0.095144 0.017408 1.935869 0.147427
6.901 0.095143 0.017409 1.963794 0.147429
7.005 0.095103 0.017499 1.989974 0.147528
7.101 0.095112 0.017475 2.042334 0.147554
7.202 0.095131 0.017440 2.066768 0.147594
7.301 0.095153 0.017406 2.103769 0.147634
7.401 0.094976 0.017693 2.142167 0.147972
7.505 0.094999 0.017659 2.165030 0.148012
7.601 0.094962 0.017697 2.206918 0.148065
7.703 0.094866 0.017823 2.221055 0.148223
7.814 0.094903 0.017778 2.252297 0.148281
7.901 0.095126 0.017518 2.309893 0.148624
8.001 0.095221 0.017417 2.334502 0.148763
8.101 0.095088 0.017542 2.376390 0.148945
8.207 0.095093 0.017543 2.411296 0.148950
8.301 0.095447 0.017234 2.442712 0.149420
8.401 0.095074 0.017536 2.470638 0.149899
8.501 0.095227 0.017025 2.521043 0.150433
8.601 0.095127 0.016904 2.544459 0.150590
8.702 0.094803 0.017124 2.584601 0.150982
8.801 0.094923 0.017052 2.621253 0.151122
8.901 0.094837 0.017099 2.642197 0.151220
9.002 0.095087 0.016968 2.685830 0.151502
9.101 0.095070 0.016977 2.715501 0.151521
9.202 0.094834 0.017081 2.741681 0.151779
9.301 0.094901 0.017055 2.787059 0.151850
9.401 0.094823 0.017083 2.818650 0.151932
9.501 0.095295 0.016933 2.850066 0.152427
9.601 0.095035 0.017006 2.881482 0.152697
9.701 0.095234 0.016972 2.925115 0.152900
9.801 0.095487 0.016920 2.953040 0.153158
9.901 0.102381 0.016354 2.990378 0.160075
10.001 0.120712 0.014664 3.022845 0.178484
10.103 0.120596 0.014673 3.062987 0.178601
10.202 0.120537 0.014678 3.099639 0.178660
10.301 0.120522 0.014679 3.131230 0.178675
10.401 0.120501 0.014678 -3.120714 0.178696
10.502 0.120653 0.014686 -3.092789 0.178848
10.601 0.120977 0.014707 -3.043920 0.179173
10.701 0.120546 0.014655 -3.012504 0.179607
10.801 0.120495 0.014648 -2.993305 0.179658
10.901 0.120673 0.014678 -2.944436 0.179838
11.001 0.120577 0.014657 -2.918256 0.179936
11.101 0.120597 0.014663 -2.892076 0.179957
11.201 0.120096 0.014519 -2.843207 0.180477
11.302 0.120191 0.014550 -2.820518 0.180577
11.401 0.129863 0.016825 -2.774418 0.190513
11.501 0.133003 0.017540 -2.745642 0.193734
11.601 0.133473 0.017757 -2.703929 0.194251
11.701 0.132971 0.017509 -2.668847 0.194810
11.801 0.132654 0.017340 -2.640922 0.195170
11.901 0.133083 0.017584 -2.604270 0.195663
12.001 0.133033 0.017550 -2.564128 0.195724
12.101 0.133033 0.017551 -2.539693 0.195725
12.201 0.132888 0.017447 -2.499725 0.195903
12.301 0.133285 0.017759 -2.459408 0.196408
12.401 0.133116 0.017616 -2.434973 0.196629
12.501 0.132631 0.017186 -2.398321 0.197277
12.601 0.132905 0.017450 -2.358179 0.197657
12.701 0.132947 0.017493 -2.328508 0.197717
12.801 0.132947 0.017493 -2.307564 0.197717
12.901 0.133034 0.017597 -2.262011 0.197852
13.001 0.112344 0.025640 -2.210778 0.220050
13.101 0.112509 0.025867 -2.191580 0.220332
13.201 0.112305 0.025565 -2.149692 0.220695
13.301 0.112472 0.025837 -2.116530 0.221014
13.401 0.112579 0.026012 -2.081624 0.221219
13.501 0.112537 0.025940 -2.041481 0.221303
13.602 0.112615 0.026104 -2.011811 0.221484
13.701 0.112665 0.026212 -1.987376 0.221603
13.801 0.112724 0.026365 -1.936761 0.221768
13.903 0.112610 0.026052 -1.907091 0.222101
14.001 0.112501 0.025725 -1.872184 0.222446
14.101 0.112552 0.025896 -1.830296 0.222625
14.202 0.112456 0.025502 -1.804116 0.223030
14.301 0.112545 0.025904 -1.767465 0.223441
14.401 0.064460 0.057236 -1.728149 0.280833
14.502 0.064457 0.057216 -1.705460 0.280854
14.601 0.064457 0.057188 -1.668808 0.280881
14.703 0.064435 0.056883 -1.639312 0.281188
14.801 0.064457 0.057486 -1.595678 0.281791
14.902 0.064454 0.057026 -1.553616 0.282251
15.001 0.064454 0.057009 -1.534243 0.282267
