# t_sec x y yaw_rad cum_dist_m 
0.102 0.000002 0.000906 0.006250 0.000000
0.201 0.000002 0.000906 0.006250 0.000000
0.301 0.000002 0.000906 0.006250 0.000000
0.401 0.000002 0.000906 0.006250 0.000000
0.502 0.000002 0.000906 0.006250 0.000000
0.601 0.000002 0.000906 0.006250 0.000000
0.701 0.000002 0.000906 0.006250 0.000000
0.801 0.000002 0.000906 0.006250 0.000000
0.902 0.000002 0.000906 0.006250 0.000000
1.002 0.000002 0.000906 0.006250 0.000000
1.103 0.000002 0.000906 0.006250 0.000000
1.202 0.000002 0.000906 0.006250 0.000000
1.302 -0.001457 0.001059 0.004792 0.001467
1.401 -0.001480 0.001072 0.020570 0.001494
1.501 -0.001682 0.001064 0.050241 0.001695
1.602 -0.001565 0.001074 0.085322 0.001812
1.702 -0.001744 0.001056 0.108011 0.001993
1.801 -0.001363 0.001109 0.148154 0.002378
1.901 -0.001736 0.001044 0.183060 0.002756
2.002 -0.001663 0.001060 0.210985 0.002831
2.102 -0.000979 0.001225 0.251128 0.003534
2.201 -0.001170 0.001165 0.287780 0.003734
2.302 -0.001095 0.001190 0.315705 0.003813
2.401 -0.000846 0.001270 0.357593 0.004074
2.505 -0.000978 0.001222 0.406462 0.004215
2.601 -0.000979 0.001222 0.422170 0.004216
2.702 -0.000655 0.001380 0.465803 0.004577
2.802 -0.000531 0.001445 0.497219 0.004716
2.901 -0.000719 0.001336 0.528461 0.004934
3.001 -0.000694 0.001354 0.570523 0.004965
3.102 -0.000711 0.001343 0.598274 0.004985
3.202 -0.000586 0.001435 0.643827 0.005140
3.303 -0.019326 0.030732 0.684055 0.039918
3.402 -0.019764 0.031507 0.712160 0.040808
3.502 -0.019412 0.031829 0.754048 0.041285
3.601 -0.019678 0.031561 0.790700 0.041663
3.702 -0.019822 0.031416 0.820370 0.041867
3.801 -0.019621 0.031642 0.858767 0.042170
3.902 -0.019648 0.031611 0.897165 0.042212
4.001 -0.019392 0.031942 0.925090 0.042630
4.101 -0.019513 0.031764 0.965233 0.042846
4.201 -0.019442 0.031873 0.987922 0.042976
4.302 -0.019497 0.031762 1.036791 0.043100
4.402 -0.019591 0.031605 1.066462 0.043283
4.501 -0.019290 0.032171 1.090896 0.043924
4.601 -0.019330 0.032065 1.139940 0.044038
4.702 -0.019239 0.032278 1.169611 0.044270
4.802 -0.030741 0.022600 1.210872 0.059302
4.901 -0.030766 0.022531 1.245779 0.059375
5.001 -0.030730 0.022645 1.273530 0.059494
5.102 -0.030759 0.022548 1.320828 0.059595
5.201 -0.030568 0.023367 1.352419 0.060435
5.302 -0.030634 0.023033 1.380344 0.060776
5.401 -0.030604 0.023244 1.418741 0.060989
5.502 -0.030576 0.023424 1.450157 0.061172
5.602 -0.030608 0.023124 1.485064 0.061474
5.702 -0.030572 0.023684 1.525206 0.062035
5.802 -0.030588 0.022842 1.565349 0.062877
5.901 -0.030592 0.023306 1.586293 0.063342
6.001 -0.030598 0.023488 1.622945 0.063523
6.101 -0.030645 0.024128 1.659597 0.064166
6.202 -0.030644 0.024109 1.685776 0.064185
6.301 -0.046894 0.062255 1.699887 0.105648
6.401 -0.046915 0.062378 1.750502 0.105772
6.502 -0.046877 0.062181 1.771446 0.105973
6.602 -0.046925 0.062397 1.799371 0.106194
6.701 -0.046942 0.062454 1.837768 0.106253
6.801 -0.047096 0.062974 1.863948 0.106796
6.902 -0.047107 0.063011 1.891873 0.106834
7.001 -0.046815 0.062208 1.940743 0.107689
7.101 -0.046991 0.062632 1.972159 0.108148
7.202 -0.047044 0.062763 2.007065 0.108289
7.301 -0.047038 0.062743 2.043717 0.108311
7.402 -0.047113 0.062884 2.073388 0.108471
7.502 -0.047305 0.063212 2.110040 0.108851
7.601 -0.047344 0.063283 2.144946 0.108932
7.702 -0.046954 0.062697 2.171126 0.109635
7.801 -0.047341 0.063237 2.199051 0.110299
7.902 -0.049234 0.065541 2.248714 0.113280
8.001 -0.069322 0.089581 2.243555 0.144608
8.103 -0.070044 0.090448 2.283698 0.145737
8.202 -0.069777 0.090155 2.318605 0.146134
8.302 -0.069945 0.090328 2.346530 0.146375
8.402 -0.069865 0.090255 2.377771 0.146483
8.502 -0.069904 0.090278 2.428560 0.146527
8.602 -0.070416 0.090707 2.454740 0.147196
8.710 -0.069957 0.090347 2.484411 0.147779
8.802 -0.070264 0.090547 2.536771 0.148145
8.901 -0.070362 0.090615 2.564696 0.148265
9.002 -0.070260 0.090552 2.592621 0.148385
9.101 -0.070535 0.090711 2.643236 0.148703
9.201 -0.070482 0.090683 2.669416 0.148763
9.302 -0.070780 0.090826 2.698912 0.149094
9.402 -0.070091 0.094434 2.744200 0.152768
9.502 -0.069334 0.124780 2.754576 0.183122
9.602 -0.069573 0.124874 2.785992 0.183378
9.702 -0.069478 0.124829 2.831371 0.183483
9.801 -0.069746 0.124910 2.862787 0.183763
9.906 -0.069589 0.124866 2.904675 0.183925
10.003 -0.070117 0.124985 2.930855 0.184466
10.101 -0.069727 0.124911 2.960525 0.184862
10.201 -0.069885 0.124933 3.000668 0.185022
10.301 -0.070330 0.124989 3.030338 0.185471
10.402 -0.069953 0.124953 3.068736 0.185849
10.501 -0.070375 0.124976 3.093170 0.186271
10.601 -0.070426 0.124986 3.129822 0.186323
10.704 -0.070394 0.124983 -3.114966 0.186355
10.802 -0.070568 0.124977 -3.090531 0.186530
10.901 -0.080755 0.116721 -3.028772 0.199643
11.002 -0.081321 0.116646 -3.004338 0.200213
11.102 -0.081065 0.116693 -2.960704 0.200473
11.202 -0.081102 0.116684 -2.931034 0.200511
11.302 -0.081104 0.116686 -2.896127 0.200514
11.402 -0.081318 0.116628 -2.855985 0.200735
11.501 -0.081106 0.116694 -2.833121 0.200957
11.602 -0.081027 0.116719 -2.826140 0.201039
11.702 -0.081028 0.116718 -2.804672 0.201040
11.802 -0.081084 0.116698 -2.790535 0.201100
11.902 -0.081310 0.116611 -2.757374 0.201342
12.002 -0.081052 0.116723 -2.727703 0.201624
12.102 -0.081137 0.116678 -2.684070 0.201720
12.202 -0.081134 0.116680 -2.652654 0.201723
12.302 -0.081276 0.116601 -2.612511 0.201885
12.402 -0.081343 0.116559 -2.580921 0.201965
12.501 -0.081444 0.116494 -2.565213 0.202084
12.602 -0.069740 0.078123 -2.527622 0.242201
12.705 -0.069764 0.078107 -2.482418 0.242230
12.802 -0.069551 0.078277 -2.463045 0.242503
12.902 -0.069578 0.078250 -2.433374 0.242540
13.002 -0.069834 0.078026 -2.403704 0.242880
13.102 -0.069641 0.078210 -2.358325 0.243147
13.201 -0.069947 0.077893 -2.332145 0.243588
13.302 -0.069960 0.077878 -2.297239 0.243607
13.402 -0.069947 0.077893 -2.265823 0.243628
13.501 -0.069794 0.078088 -2.229171 0.243875
13.601 -0.069769 0.078118 -2.190774 0.243914
13.702 -0.070200 0.077489 -2.161103 0.244677
13.808 -0.070164 0.077560 -2.110488 0.244756
13.905 -0.070184 0.077524 -2.087799 0.244797
14.007 -0.070330 0.077259 -2.061619 0.245099
14.101 -0.070303 0.077315 -2.026713 0.245161
14.203 -0.071706 0.081285 -1.966427 0.249372
14.301 -0.076681 0.094909 -1.859601 0.263876
14.401 -0.076746 0.094675 -1.831676 0.264118
14.502 -0.076706 0.094854 -1.788043 0.264302
14.601 -0.076725 0.094753 -1.760118 0.264404
14.702 -0.076715 0.094814 -1.732192 0.264466
14.802 -0.076708 0.094854 -1.681578 0.264507
14.902 -0.076745 0.094476 -1.657143 0.264887
15.002 -0.076726 0.094777 -1.623982 0.265188
15.102 -0.076747 0.093995 -1.582094 0.265970
15.202 -0.076747 0.094458 -1.562896 0.266433
15.302 -0.076751 0.094639 -1.534970 0.266614
15.402 -0.076708 0.093836 -1.492733 0.267417
15.502 -0.076744 0.094213 -1.464983 0.267796
15.601 -0.076719 0.094031 -1.437057 0.267981
15.701 -0.076711 0.093935 -1.391330 0.268077
15.801 -0.076631 0.093544 -1.360088 0.268475
15.902 -0.031756 0.077361 -1.247183 0.316180
16.001 -0.025065 0.074973 -1.198314 0.323284
16.101 -0.025060 0.074964 -1.170389 0.323294
16.202 -0.025023 0.074870 -1.137228 0.323396
16.301 -0.024961 0.074750 -1.100576 0.323530
16.401 -0.025064 0.074939 -1.070905 0.323745
16.502 -0.024909 0.074682 -1.029017 0.324045
16.601 -0.024878 0.074631 -1.011564 0.324105
16.702 -0.025009 0.074831 -0.978403 0.324345
16.801 -0.024748 0.074467 -0.940005 0.324792
16.902 -0.024589 0.074253 -0.898117 0.325059
17.001 -0.024867 0.074597 -0.871938 0.325502
17.101 -0.024604 0.074295 -0.837031 0.325902
17.201 -0.024677 0.074370 -0.791652 0.326006
17.302 -0.024233 0.073932 -0.765472 0.326629
17.401 -0.024457 0.074138 -0.739293 0.326934
17.502 -0.023755 0.073014 -0.686492 0.328259
17.602 -0.021534 0.069797 -0.638382 0.332168
17.706 -0.021831 0.070006 -0.608711 0.332531
17.801 -0.021465 0.069764 -0.578866 0.332970
17.902 -0.021515 0.069793 -0.540469 0.333027
18.002 -0.021632 0.069865 -0.510798 0.333164
18.113 -0.021193 0.069628 -0.475892 0.333663
18.201 -0.021360 0.069702 -0.437494 0.333845
18.301 -0.021156 0.069613 -0.413060 0.334068
18.401 -0.021348 0.069679 -0.367681 0.334271
18.501 -0.021350 0.069684 -0.338011 0.334277
18.602 -0.020813 0.069504 -0.313576 0.334843
18.702 -0.020986 0.069556 -0.283905 0.335024
18.801 -0.020654 0.069475 -0.235036 0.335366
18.902 -0.020618 0.069465 -0.214092 0.335402
19.002 -0.020811 0.068809 -0.189055 0.336087
19.102 -0.018706 0.063822 -0.145961 0.341499
19.202 -0.018865 0.063843 -0.116291 0.341660
19.303 -0.018486 0.063806 -0.091856 0.342041
19.406 -0.018488 0.063804 -0.032515 0.342043
19.509 -0.018569 0.063806 -0.022043 0.342125
19.602 -0.018689 0.063809 -0.023788 0.342245
19.703 -0.018948 0.063815 -0.023788 0.342504
19.802 -0.018988 0.063816 -0.023788 0.342544
19.902 -0.018988 0.063816 -0.023788 0.342544
20.001 -0.018988 0.063816 -0.023788 0.342544
20.102 -0.018988 0.063816 -0.023788 0.342544
20.202 -0.018988 0.063816 -0.023788 0.342544
20.301 -0.018988 0.063816 -0.023788 0.342544
20.401 -0.018988 0.063816 -0.023788 0.342544
20.502 -0.018988 0.063816 -0.023788 0.342544
20.602 -0.018988 0.063816 -0.023788 0.342544
20.702 -0.018988 0.063816 -0.023788 0.342544
20.803 -0.018988 0.063816 -0.023788 0.342544
20.901 -0.018988 0.063816 -0.023788 0.342544
21.002 -0.018988 0.063816 -0.023788 0.342544
21.102 -0.018988 0.063816 -0.023788 0.342544
21.202 -0.018988 0.063816 -0.023788 0.342544
21.302 -0.018988 0.063816 -0.023788 0.342544
21.402 -0.018988 0.063816 -0.023788 0.342544
21.502 -0.018988 0.063816 -0.023788 0.342544
21.602 -0.018988 0.063816 -0.023788 0.342544
21.702 -0.018988 0.063816 -0.023788 0.342544
21.820 -0.018988 0.063816 -0.023788 0.342544
21.905 -0.018988 0.063816 -0.023788 0.342544
22.001 -0.018988 0.063816 -0.023788 0.342544
22.102 -0.018928 0.063816 -0.011571 0.342603
22.201 -0.001716 0.000112 0.056130 0.408591
22.302 -0.003048 -0.000004 0.106745 0.409928
22.401 0.000475 0.000837 0.234154 0.413549
