# t_sec x y yaw_rad cum_dist_m
0.114 0.000000 -0.000164 0.001563 0.000000
0.213 0.000000 -0.000164 0.001563 0.000000
0.313 0.000000 -0.000164 0.001563 0.000000
0.420 0.000000 -0.000164 0.001563 0.000000
0.513 0.000000 -0.000164 0.001563 0.000000
0.614 0.000000 -0.000164 0.001563 0.000000
0.713 0.000000 -0.000164 0.001563 0.000000
0.813 0.000000 -0.000164 0.001563 0.000000
0.914 -0.000200 -0.000166 0.008544 0.000200
1.013 -0.000221 -0.000168 0.046941 0.000221
1.113 -0.000423 -0.000180 0.067710 0.000424
1.214 -0.000340 -0.000171 0.104537 0.000508
1.313 -0.000242 -0.000160 0.146425 0.000606
1.414 -0.000180 -0.000150 0.174350 0.000669
1.513 0.000018 -0.000108 0.212747 0.000871
1.613 -0.000352 -0.000200 0.251145 0.001253
1.713 -0.000255 -0.000172 0.279070 0.001354
1.814 -0.000523 -0.000261 0.331430 0.001636
1.914 -0.000412 -0.000220 0.355864 0.001755
2.013 -0.000375 -0.000206 0.383790 0.001794
2.114 -0.000614 -0.000311 0.429168 0.002056
2.213 -0.000311 -0.000168 0.465820 0.002391
2.313 -0.000295 -0.000159 0.500727 0.002409
2.415 -0.000400 -0.000219 0.530397 0.002529
2.513 -0.000417 -0.000229 0.558323 0.002550
2.613 0.037594 0.044233 0.614908 0.061045
2.713 0.037981 0.044518 0.642659 0.061527
2.813 0.037745 0.044333 0.670759 0.061827
2.913 0.037996 0.044554 0.724864 0.062162
3.013 0.037402 0.044012 0.749298 0.062966
3.113 0.037502 0.044115 0.780714 0.063110
3.213 0.037627 0.044241 0.827838 0.063287
3.313 0.037638 0.044253 0.852273 0.063303
3.413 0.037605 0.044216 0.880198 0.063353
3.513 0.037522 0.044101 0.929067 0.063495
3.613 0.037583 0.044187 0.955247 0.063601
3.713 0.037636 0.044264 0.988408 0.063694
3.813 0.037582 0.044173 1.033787 0.063800
3.914 0.037647 0.044289 1.065203 0.063933
4.013 0.037703 0.044393 1.094874 0.064050
4.115 0.078520 0.033824 1.139541 0.106213
4.213 0.078488 0.033751 1.167466 0.106292
4.314 0.078427 0.033600 1.200627 0.106455
4.413 0.078474 0.033732 1.242515 0.106596
4.513 0.078507 0.033831 1.277422 0.106700
4.613 0.078543 0.033968 1.308838 0.106841
4.713 0.078487 0.033734 1.352471 0.107082
4.813 0.078498 0.033794 1.380222 0.107143
4.913 0.078467 0.033614 1.425775 0.107326
5.013 0.078479 0.033693 1.462427 0.107405
